1623 2414
2903 8232
11448 6705
3268 14850
5991 12559
1147 2063
11294 4444
5403 15918
6040 7277
4974 9739
1048 13754
13153 7655
13716 6723
852 823
11053 2407
6409 2728
12481 11330
5024 9119
11059 10956
7788 2273
2518 7962
5480 15011
13412 16202
8579 11834
4855 2521
12034 4618
2087 1542
5530 13684
2544 12319
15938 1089
15442 20
4188 16106
13352 1706
11103 5798
12738 10112
11430 8471
11105 8584
4714 9560
2548 14601
14827 3450
11590 10642
9319 12455
5250 8596
8690 12841
11082 5012
6312 3933
11319 4775
13084 5203
11872 4804
15607 11583
5420 1769
4674 13425
13276 16187
6609 9064
11859 12427
7341 6
6032 7640
1652 6542
2773 13748
5422 8971
13885 4365
6807 15106
3363 1984
12531 12404
15715 5342
11040 13131
14506 2474
3972 6622
444 7657
6580 1978
1398 3645
10166 2364
6100 9851
6991 1860
7192 9391
12692 4218
10903 14699
10282 5809
13795 4588
7851 15132
346 3585
6719 9138
12025 3910
4640 5946
1910 7790
12430 15907
7794 12033
4503 12454
13627 8617
15998 13792
12084 5378
11221 1987
1245 1239
12521 15516
12574 12988
8348 3002
10809 7421
13308 291
2392 14078
13522 9150
9242 10014
8858 12233
8660 7241
8263 14449
6116 7928
3188 2831
1388 4311
4672 1322
3101 3916
6666 13836
2945 13510
11595 5178
14461 14303
7512 8153
7730 12928
15656 5305
13742 13527
11355 11143
6251 7445
8699 5856
3208 7973
6872 7643
1119 12909
4296 15005
12421 3122
1929 9233
6638 5099
2554 10818
10591 11895
10855 4548
15442 9153
8151 6575
12508 15431
8548 14470
11756 7758
